Collision detected: CollisionEvent(frame=112234, timestamp=2015.387234, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112235, timestamp=2015.404346, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112236, timestamp=2015.421197, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112236, timestamp=2015.421197, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112237, timestamp=2015.437971, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112237, timestamp=2015.437971, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112238, timestamp=2015.455816, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112238, timestamp=2015.455816, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112239, timestamp=2015.474346, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112239, timestamp=2015.474346, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112240, timestamp=2015.491737, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112240, timestamp=2015.491737, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112241, timestamp=2015.509919, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112241, timestamp=2015.509919, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112242, timestamp=2015.529518, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112242, timestamp=2015.529518, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112243, timestamp=2015.549013, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112243, timestamp=2015.549013, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112244, timestamp=2015.569084, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112244, timestamp=2015.569084, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112245, timestamp=2015.586275, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112245, timestamp=2015.586275, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112246, timestamp=2015.603451, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112246, timestamp=2015.603451, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112247, timestamp=2015.620620, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112247, timestamp=2015.620620, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112248, timestamp=2015.637649, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112248, timestamp=2015.637649, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112249, timestamp=2015.656533, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112249, timestamp=2015.656533, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112250, timestamp=2015.675425, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112250, timestamp=2015.675425, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112251, timestamp=2015.692724, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112251, timestamp=2015.692724, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112252, timestamp=2015.711427, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112252, timestamp=2015.711427, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112253, timestamp=2015.730406, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112253, timestamp=2015.730406, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112254, timestamp=2015.748168, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112254, timestamp=2015.748168, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112255, timestamp=2015.766306, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112256, timestamp=2015.784047, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112256, timestamp=2015.784047, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112257, timestamp=2015.801835, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112257, timestamp=2015.801835, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112258, timestamp=2015.818892, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112258, timestamp=2015.818892, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112259, timestamp=2015.837673, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112259, timestamp=2015.837673, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112260, timestamp=2015.855332, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112260, timestamp=2015.855332, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112261, timestamp=2015.872732, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112261, timestamp=2015.872732, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112262, timestamp=2015.890070, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112262, timestamp=2015.890070, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112263, timestamp=2015.907401, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112263, timestamp=2015.907401, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112264, timestamp=2015.926777, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112264, timestamp=2015.926777, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112265, timestamp=2015.944838, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112265, timestamp=2015.944838, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112266, timestamp=2015.961715, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112266, timestamp=2015.961715, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112267, timestamp=2015.979473, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112267, timestamp=2015.979473, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112268, timestamp=2015.996971, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112268, timestamp=2015.996971, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112269, timestamp=2016.015679, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112269, timestamp=2016.015679, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112270, timestamp=2016.035308, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112270, timestamp=2016.035308, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112271, timestamp=2016.054127, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112271, timestamp=2016.054127, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112272, timestamp=2016.073296, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112272, timestamp=2016.073296, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112273, timestamp=2016.090942, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112273, timestamp=2016.090942, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112274, timestamp=2016.109075, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112274, timestamp=2016.109075, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112275, timestamp=2016.127395, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112275, timestamp=2016.127395, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112276, timestamp=2016.145170, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112276, timestamp=2016.145170, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112277, timestamp=2016.163344, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112277, timestamp=2016.163344, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112278, timestamp=2016.181488, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112279, timestamp=2016.198514, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112279, timestamp=2016.198514, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112280, timestamp=2016.218521, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112280, timestamp=2016.218521, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112281, timestamp=2016.244186, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112281, timestamp=2016.244186, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112282, timestamp=2016.273262, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112282, timestamp=2016.273262, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112283, timestamp=2016.299423, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112283, timestamp=2016.299423, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112284, timestamp=2016.318365, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112284, timestamp=2016.318365, other_actor=0000012136CC8A80)
