LidarMeasurement(frame=94599, timestamp=1689.826300, number_of_points=480)
LidarMeasurement(frame=94600, timestamp=1689.846069, number_of_points=583)
LidarMeasurement(frame=94601, timestamp=1689.865539, number_of_points=511)
LidarMeasurement(frame=94602, timestamp=1689.884472, number_of_points=499)
LidarMeasurement(frame=94603, timestamp=1689.903688, number_of_points=444)
LidarMeasurement(frame=94604, timestamp=1689.922698, number_of_points=469)
LidarMeasurement(frame=94605, timestamp=1689.942201, number_of_points=572)
LidarMeasurement(frame=94606, timestamp=1689.961520, number_of_points=491)
LidarMeasurement(frame=94607, timestamp=1689.982072, number_of_points=569)
LidarMeasurement(frame=94608, timestamp=1690.001995, number_of_points=503)
LidarMeasurement(frame=94609, timestamp=1690.022024, number_of_points=456)
LidarMeasurement(frame=94610, timestamp=1690.042687, number_of_points=630)
LidarMeasurement(frame=94611, timestamp=1690.063745, number_of_points=556)
LidarMeasurement(frame=94612, timestamp=1690.084696, number_of_points=569)
LidarMeasurement(frame=94613, timestamp=1690.104672, number_of_points=481)
LidarMeasurement(frame=94614, timestamp=1690.123209, number_of_points=445)
LidarMeasurement(frame=94615, timestamp=1690.142026, number_of_points=553)
LidarMeasurement(frame=94616, timestamp=1690.161763, number_of_points=517)
LidarMeasurement(frame=94617, timestamp=1690.180763, number_of_points=527)
LidarMeasurement(frame=94618, timestamp=1690.199651, number_of_points=470)
LidarMeasurement(frame=94619, timestamp=1690.217879, number_of_points=464)
LidarMeasurement(frame=94620, timestamp=1690.237618, number_of_points=528)
LidarMeasurement(frame=94621, timestamp=1690.256914, number_of_points=528)
LidarMeasurement(frame=94622, timestamp=1690.277448, number_of_points=528)
LidarMeasurement(frame=94623, timestamp=1690.295558, number_of_points=491)
LidarMeasurement(frame=94624, timestamp=1690.314615, number_of_points=439)
LidarMeasurement(frame=94625, timestamp=1690.332948, number_of_points=459)
LidarMeasurement(frame=94626, timestamp=1690.351516, number_of_points=528)
LidarMeasurement(frame=94627, timestamp=1690.369889, number_of_points=475)
LidarMeasurement(frame=94628, timestamp=1690.390958, number_of_points=570)
LidarMeasurement(frame=94629, timestamp=1690.409485, number_of_points=389)
LidarMeasurement(frame=94630, timestamp=1690.427866, number_of_points=474)
LidarMeasurement(frame=94631, timestamp=1690.445867, number_of_points=541)
LidarMeasurement(frame=94632, timestamp=1690.463731, number_of_points=477)
LidarMeasurement(frame=94633, timestamp=1690.484873, number_of_points=588)
LidarMeasurement(frame=94634, timestamp=1690.504317, number_of_points=445)
LidarMeasurement(frame=94635, timestamp=1690.523644, number_of_points=463)
LidarMeasurement(frame=94636, timestamp=1690.541775, number_of_points=547)
LidarMeasurement(frame=94637, timestamp=1690.560357, number_of_points=463)
LidarMeasurement(frame=94638, timestamp=1690.579489, number_of_points=535)
LidarMeasurement(frame=94639, timestamp=1690.599143, number_of_points=467)
LidarMeasurement(frame=94640, timestamp=1690.617208, number_of_points=408)
LidarMeasurement(frame=94641, timestamp=1690.637298, number_of_points=432)
LidarMeasurement(frame=94642, timestamp=1690.657263, number_of_points=609)
LidarMeasurement(frame=94643, timestamp=1690.679395, number_of_points=659)
LidarMeasurement(frame=94644, timestamp=1690.700259, number_of_points=512)
LidarMeasurement(frame=94645, timestamp=1690.720270, number_of_points=472)
LidarMeasurement(frame=94646, timestamp=1690.740058, number_of_points=498)
LidarMeasurement(frame=94647, timestamp=1690.759240, number_of_points=588)
LidarMeasurement(frame=94648, timestamp=1690.779023, number_of_points=547)
LidarMeasurement(frame=94649, timestamp=1690.797697, number_of_points=455)
LidarMeasurement(frame=94650, timestamp=1690.816793, number_of_points=433)
LidarMeasurement(frame=94651, timestamp=1690.835620, number_of_points=404)
LidarMeasurement(frame=94652, timestamp=1690.854972, number_of_points=563)
LidarMeasurement(frame=94653, timestamp=1690.873303, number_of_points=497)
LidarMeasurement(frame=94654, timestamp=1690.890977, number_of_points=432)
LidarMeasurement(frame=94655, timestamp=1690.908433, number_of_points=373)
LidarMeasurement(frame=94656, timestamp=1690.934521, number_of_points=590)
LidarMeasurement(frame=94657, timestamp=1690.952388, number_of_points=445)
LidarMeasurement(frame=94658, timestamp=1690.970317, number_of_points=481)
LidarMeasurement(frame=94659, timestamp=1690.988219, number_of_points=404)
LidarMeasurement(frame=94660, timestamp=1691.006220, number_of_points=406)
LidarMeasurement(frame=94661, timestamp=1691.024319, number_of_points=395)
LidarMeasurement(frame=94662, timestamp=1691.043223, number_of_points=435)
LidarMeasurement(frame=94663, timestamp=1691.060678, number_of_points=394)
LidarMeasurement(frame=94664, timestamp=1691.078750, number_of_points=459)
LidarMeasurement(frame=94665, timestamp=1691.096582, number_of_points=418)
LidarMeasurement(frame=94666, timestamp=1691.114433, number_of_points=402)
LidarMeasurement(frame=94667, timestamp=1691.132990, number_of_points=356)
LidarMeasurement(frame=94668, timestamp=1691.150398, number_of_points=377)
LidarMeasurement(frame=94669, timestamp=1691.167682, number_of_points=377)
LidarMeasurement(frame=94670, timestamp=1691.187447, number_of_points=466)
LidarMeasurement(frame=94671, timestamp=1691.206162, number_of_points=409)
LidarMeasurement(frame=94672, timestamp=1691.226155, number_of_points=456)
LidarMeasurement(frame=94673, timestamp=1691.245528, number_of_points=445)
LidarMeasurement(frame=94674, timestamp=1691.263459, number_of_points=393)
LidarMeasurement(frame=94675, timestamp=1691.282991, number_of_points=419)
LidarMeasurement(frame=94676, timestamp=1691.302430, number_of_points=425)
LidarMeasurement(frame=94677, timestamp=1691.320250, number_of_points=430)
LidarMeasurement(frame=94678, timestamp=1691.337759, number_of_points=354)
LidarMeasurement(frame=94679, timestamp=1691.355290, number_of_points=423)
LidarMeasurement(frame=94680, timestamp=1691.372757, number_of_points=351)
LidarMeasurement(frame=94681, timestamp=1691.392754, number_of_points=437)
LidarMeasurement(frame=94682, timestamp=1691.411040, number_of_points=386)
LidarMeasurement(frame=94683, timestamp=1691.428151, number_of_points=371)
LidarMeasurement(frame=94684, timestamp=1691.446069, number_of_points=411)
LidarMeasurement(frame=94685, timestamp=1691.464397, number_of_points=412)
LidarMeasurement(frame=94686, timestamp=1691.482434, number_of_points=394)
LidarMeasurement(frame=94687, timestamp=1691.500939, number_of_points=392)
LidarMeasurement(frame=94688, timestamp=1691.519952, number_of_points=437)
LidarMeasurement(frame=94689, timestamp=1691.538722, number_of_points=371)
LidarMeasurement(frame=94690, timestamp=1691.556670, number_of_points=406)
LidarMeasurement(frame=94691, timestamp=1691.575242, number_of_points=396)
LidarMeasurement(frame=94692, timestamp=1691.595924, number_of_points=447)
LidarMeasurement(frame=94693, timestamp=1691.615122, number_of_points=452)
LidarMeasurement(frame=94694, timestamp=1691.633508, number_of_points=380)
LidarMeasurement(frame=94695, timestamp=1691.652054, number_of_points=434)
LidarMeasurement(frame=94696, timestamp=1691.671302, number_of_points=424)
LidarMeasurement(frame=94697, timestamp=1691.690143, number_of_points=420)
LidarMeasurement(frame=94698, timestamp=1691.709884, number_of_points=461)
LidarMeasurement(frame=94699, timestamp=1691.728566, number_of_points=474)
LidarMeasurement(frame=94700, timestamp=1691.746597, number_of_points=397)
LidarMeasurement(frame=94701, timestamp=1691.765432, number_of_points=381)
LidarMeasurement(frame=94702, timestamp=1691.784330, number_of_points=381)
LidarMeasurement(frame=94703, timestamp=1691.804305, number_of_points=429)
LidarMeasurement(frame=94704, timestamp=1691.823055, number_of_points=420)
LidarMeasurement(frame=94705, timestamp=1691.841768, number_of_points=401)
LidarMeasurement(frame=94706, timestamp=1691.860810, number_of_points=409)
LidarMeasurement(frame=94707, timestamp=1691.879811, number_of_points=380)
LidarMeasurement(frame=94708, timestamp=1691.899480, number_of_points=439)
LidarMeasurement(frame=94709, timestamp=1691.918187, number_of_points=441)
LidarMeasurement(frame=94710, timestamp=1691.937764, number_of_points=380)
LidarMeasurement(frame=94711, timestamp=1691.957134, number_of_points=419)
LidarMeasurement(frame=94712, timestamp=1691.975249, number_of_points=357)
LidarMeasurement(frame=94713, timestamp=1691.993913, number_of_points=405)
LidarMeasurement(frame=94714, timestamp=1692.012413, number_of_points=434)
LidarMeasurement(frame=94715, timestamp=1692.032305, number_of_points=426)
LidarMeasurement(frame=94716, timestamp=1692.051681, number_of_points=441)
LidarMeasurement(frame=94717, timestamp=1692.070416, number_of_points=410)
LidarMeasurement(frame=94718, timestamp=1692.089737, number_of_points=389)
LidarMeasurement(frame=94719, timestamp=1692.109621, number_of_points=456)
LidarMeasurement(frame=94720, timestamp=1692.128619, number_of_points=440)
LidarMeasurement(frame=94721, timestamp=1692.147372, number_of_points=424)
LidarMeasurement(frame=94722, timestamp=1692.165938, number_of_points=410)
LidarMeasurement(frame=94723, timestamp=1692.185197, number_of_points=395)
LidarMeasurement(frame=94724, timestamp=1692.204518, number_of_points=446)
LidarMeasurement(frame=94725, timestamp=1692.223646, number_of_points=449)
LidarMeasurement(frame=94726, timestamp=1692.242534, number_of_points=412)
LidarMeasurement(frame=94727, timestamp=1692.264963, number_of_points=520)
LidarMeasurement(frame=94728, timestamp=1692.286116, number_of_points=417)
