RadarMeasurement(frame=94605, timestamp=1689.942201, point_count=25)
RadarMeasurement(frame=94606, timestamp=1689.961520, point_count=19)
RadarMeasurement(frame=94607, timestamp=1689.982072, point_count=25)
RadarMeasurement(frame=94608, timestamp=1690.001995, point_count=21)
RadarMeasurement(frame=94609, timestamp=1690.022024, point_count=27)
RadarMeasurement(frame=94610, timestamp=1690.042687, point_count=23)
RadarMeasurement(frame=94611, timestamp=1690.063745, point_count=25)
RadarMeasurement(frame=94612, timestamp=1690.084696, point_count=25)
RadarMeasurement(frame=94613, timestamp=1690.104672, point_count=23)
RadarMeasurement(frame=94614, timestamp=1690.123209, point_count=19)
RadarMeasurement(frame=94615, timestamp=1690.142026, point_count=20)
RadarMeasurement(frame=94616, timestamp=1690.161763, point_count=25)
RadarMeasurement(frame=94617, timestamp=1690.180763, point_count=23)
RadarMeasurement(frame=94618, timestamp=1690.199651, point_count=22)
RadarMeasurement(frame=94619, timestamp=1690.217879, point_count=23)
RadarMeasurement(frame=94620, timestamp=1690.237618, point_count=23)
RadarMeasurement(frame=94621, timestamp=1690.256914, point_count=22)
RadarMeasurement(frame=94622, timestamp=1690.277448, point_count=24)
RadarMeasurement(frame=94623, timestamp=1690.295558, point_count=17)
RadarMeasurement(frame=94624, timestamp=1690.314615, point_count=17)
RadarMeasurement(frame=94625, timestamp=1690.332948, point_count=21)
RadarMeasurement(frame=94626, timestamp=1690.351516, point_count=22)
RadarMeasurement(frame=94627, timestamp=1690.369889, point_count=19)
RadarMeasurement(frame=94628, timestamp=1690.390958, point_count=23)
RadarMeasurement(frame=94629, timestamp=1690.409485, point_count=22)
RadarMeasurement(frame=94630, timestamp=1690.427866, point_count=22)
RadarMeasurement(frame=94631, timestamp=1690.445867, point_count=21)
RadarMeasurement(frame=94632, timestamp=1690.463731, point_count=17)
RadarMeasurement(frame=94633, timestamp=1690.484873, point_count=26)
RadarMeasurement(frame=94634, timestamp=1690.504317, point_count=24)
RadarMeasurement(frame=94635, timestamp=1690.523644, point_count=17)
RadarMeasurement(frame=94636, timestamp=1690.541775, point_count=24)
RadarMeasurement(frame=94637, timestamp=1690.560357, point_count=26)
RadarMeasurement(frame=94638, timestamp=1690.579489, point_count=25)
RadarMeasurement(frame=94639, timestamp=1690.599143, point_count=28)
RadarMeasurement(frame=94640, timestamp=1690.617208, point_count=27)
RadarMeasurement(frame=94641, timestamp=1690.637298, point_count=5)
RadarMeasurement(frame=94642, timestamp=1690.657263, point_count=11)
RadarMeasurement(frame=94643, timestamp=1690.679395, point_count=9)
RadarMeasurement(frame=94644, timestamp=1690.700259, point_count=9)
RadarMeasurement(frame=94645, timestamp=1690.720270, point_count=12)
RadarMeasurement(frame=94646, timestamp=1690.740058, point_count=10)
RadarMeasurement(frame=94647, timestamp=1690.759240, point_count=8)
RadarMeasurement(frame=94648, timestamp=1690.779023, point_count=6)
RadarMeasurement(frame=94649, timestamp=1690.797697, point_count=7)
RadarMeasurement(frame=94650, timestamp=1690.816793, point_count=9)
RadarMeasurement(frame=94651, timestamp=1690.835620, point_count=6)
RadarMeasurement(frame=94652, timestamp=1690.854972, point_count=6)
RadarMeasurement(frame=94653, timestamp=1690.873303, point_count=5)
RadarMeasurement(frame=94654, timestamp=1690.890977, point_count=8)
RadarMeasurement(frame=94655, timestamp=1690.908433, point_count=10)
RadarMeasurement(frame=94656, timestamp=1690.934521, point_count=8)
RadarMeasurement(frame=94657, timestamp=1690.952388, point_count=5)
RadarMeasurement(frame=94658, timestamp=1690.970317, point_count=11)
RadarMeasurement(frame=94659, timestamp=1690.988219, point_count=5)
RadarMeasurement(frame=94660, timestamp=1691.006220, point_count=8)
RadarMeasurement(frame=94661, timestamp=1691.024319, point_count=12)
RadarMeasurement(frame=94662, timestamp=1691.043223, point_count=9)
RadarMeasurement(frame=94663, timestamp=1691.060678, point_count=6)
RadarMeasurement(frame=94664, timestamp=1691.078750, point_count=10)
RadarMeasurement(frame=94665, timestamp=1691.096582, point_count=10)
RadarMeasurement(frame=94666, timestamp=1691.114433, point_count=10)
RadarMeasurement(frame=94667, timestamp=1691.132990, point_count=7)
RadarMeasurement(frame=94668, timestamp=1691.150398, point_count=4)
RadarMeasurement(frame=94669, timestamp=1691.167682, point_count=8)
RadarMeasurement(frame=94670, timestamp=1691.187447, point_count=7)
RadarMeasurement(frame=94671, timestamp=1691.206162, point_count=8)
RadarMeasurement(frame=94672, timestamp=1691.226155, point_count=11)
RadarMeasurement(frame=94673, timestamp=1691.245528, point_count=10)
RadarMeasurement(frame=94674, timestamp=1691.263459, point_count=11)
RadarMeasurement(frame=94675, timestamp=1691.282991, point_count=10)
